Localidad;Departamento;Provincia;POBLACION CENSO 2010;Estado
Chilecito;San Carlos;Mendoza;36591;Conectado
Chilecito.;Chilecito;La Rioja;1111;Conectado
Chivilcoy;Chivilcoy;Buenos Aires;59780;Conectado
Chorriaca;Loncopué;Neuquen;418;Conectado
Chos Malal;Chos Malal;Neuquen;13589;Conectado
Chucul;Río Cuarto;Cordoba;304;Conectado
Chucul Silica;Río Cuarto;Cordoba;315;Conectado
Chuña;Ischilín;Cordoba;561;Conectado
Ciénaga de Paicone;Santa Catalina;Jujuy;100;Conectado
Cieneguillas;Santa Catalina;Jujuy;271;Conectado
Clemente Onelli;25 de Mayo;Rio Negro;125;Conectado
Clodomira;Banda;Santiago del Estero;10183;Conectado
Clorinda;Pilcomayo;Formosa;55162;Conectado
Colalao del Valle;Tafí del Valle;Tucuman;656;Conectado
Colmena;Vera;Santa Fe;141;Conectado
Colonia Aborigen;25 de Mayo;Chaco;1298;Conectado
Colonia Benitez;1º de Mayo;Chaco;2356;Conectado
Colonia Bossi;San Cristóbal;Santa Fe;114;Conectado
Colonia El Simbolar;Robles;Santiago del Estero;4426;Conectado
Colonia Ensayo;Diamante;Entre Rios;262;Conectado
Colonia Julia y Echarren;Pichi Mahuida;Rio Negro;939;Conectado
Colonia Las Heras;Deseado;Santa Cruz;18712;Conectado
Colonia Mayo-Barrio Milagrosa;Cruz Alta;Tucuman;960;Conectado
Colonia Peña;Federación;Entre Rios;62;Conectado
Colonia Popular;Libertad;Chaco;203;Conectado
Colonia Raquel;Castellanos;Santa Fe;129;Conectado
Colonia San Jose;Tilcara;Jujuy;300;Conectado
Colonia San Martin;Saavedra;Buenos Aires;94;Conectado
Colonia Santa Maria.;Federación;Entre Rios;66;Conectado
Colonia Santa Maria..;Utracan;La Pampa;292;Conectado
Colonia Santa Rosa;Orán;Salta;16488;Conectado
Colonia Wanda;Iguazú;Misiones;15541;Conectado
Comallo;Pilcaniyeu;Rio Negro;1658;Conectado
Comandante Andresito;Gral. Manuel Belgrano;Misiones;13095;Conectado
Concepcion;Chicligasta;Tucuman;4318;Conectado
Concepcion del Bermejo;Almirante Brown;Chaco;5766;Conectado
Concepcion del Uruguay;Uruguay;Entre Rios;75103;Conectado
Concordia;Concordia;Entre Rios;155503;Conectado
Condor Huasi;Belén;Catamarca;266;Conectado
Conesa;San Nicolas;Buenos Aires;2126;Conectado
Conscripto Bernardi;Federal;Entre Rios;1360;Conectado
Coranzuli;Susques;Jujuy;340;Conectado
Cordoba;Capital;Cordoba;1383163;Conectado
Coronda;San Jerónimo;Santa Fe;17261;Conectado
Coronel Baigorria;Río Cuarto;Cordoba;1509;Conectado
Coronel Cornejo;Gral.J. de San Martín;Salta;2842;Conectado
Coronel Juan Sola;Rivadavia;Salta;4971;Conectado
Coronel Moldes;Río Cuarto;Cordoba;4198;Conectado
Coronel Suarez;Coronel Suarez;Buenos Aires;24105;Conectado
Corralito;Tercero Arriba;Cordoba;1743;Conectado
Correa;Iriondo;Santa Fe;5844;Conectado
Corrientes;Capital;Corrientes;361746;Conectado
Costa de Araujo;Lavalle;Mendoza;3017;Conectado
Cote Lai;Tapenagá;Chaco;1308;Conectado
Country Club El Casco;Zárate;Buenos Aires;481;Conectado
Coyaguayma;Rinconada;Jujuy;86;Conectado
Crespo;Paraná;Entre Rios;20161;Conectado
Crotto;Tapalque;Buenos Aires;260;Conectado
Cruce Caballero;San Pedro;Misiones;471;Conectado
Cruz de Los Milagros;Lavalle;Corrientes;150;Conectado
Cruz del Eje;Cruz del Eje;Cordoba;32613;Conectado
Cuatro Esquinas;Rosario;Santa Fe;180;Conectado
Cucullu;San Andrés de Giles;Buenos Aires;580;Conectado
Curamalal;Coronel Suarez;Buenos Aires;97;Conectado
Curaru;Carlos Tejedor;Buenos Aires;423;Conectado
Curupayti;San Cristóbal;Santa Fe;227;Conectado
Cusi Cusi;Santa Catalina;Jujuy;230;Conectado
Daireaux;Daireaux;Buenos Aires;12516;Conectado
Dalmacio Velez;Tercero Arriba;Cordoba;1511;Conectado
De Bary;Pellegrini;Buenos Aires;62;Conectado
Dean Funes;Ischilín;Cordoba;21635;Conectado
Del Carril;Saladillo;Buenos Aires;1324;Conectado
Del Viso;Pilar;Buenos Aires;;Conectado
Delfin Gallo;Cruz Alta;Tucuman;9327;Conectado
Derqui;Pilar;Buenos Aires;;Conectado
Despeñaderos;Santa María;Cordoba;6164;Conectado
Desvio Arijon;San Jerónimo;Santa Fe;968;Conectado
Devoto;San Justo;Cordoba;6314;Conectado
Diamante;Diamante;Entre Rios;19630;Conectado
Diego de Alvear;General Lopez;Santa Fe;1900;Conectado
Diego Gaynor;Exaltacion de La Cruz;Buenos Aires;263;Conectado
Dina Huapi;Pilcaniyeu;Rio Negro;3842;Conectado
Don Cristobal;Nogoyá;Entre Rios;29;Conectado
Don Emilio;San Pedro;Jujuy;458;Conectado
Donadeu;Alberdi;Santiago del Estero;588;Conectado
Dragones;Gral.J. de San Martín;Salta;1892;Conectado
Duggan;San Antonio de Areco;Buenos Aires;597;Conectado
Durazno;Tala;Entre Rios;293;Conectado
Egusquiza;Castellanos;Santa Fe;293;Conectado
El Acheral;San Pedro;Jujuy;253;Conectado
El Bolson;Bariloche;Rio Negro;18904;Conectado
El Cabure;Copo;Santiago del Estero;797;Conectado
El Calafate;Lago Argentino;Santa Cruz;29271;Conectado
El Chacho;Minas;Cordoba;152;Conectado
El Charco;Jiménez;Santiago del Estero;186;Conectado
El Chocon;Confluencia;Neuquen;458;Conectado
El Cimarron;Federal;Entre Rios;634;Conectado
El Dean;Capital;Santiago del Estero;685;Conectado
El Desmonte;Santa María;Catamarca;145;Conectado
El Dorado;Leandro N. Alem;Buenos Aires;322;Conectado
El Foyel;Bariloche;Rio Negro;172;Conectado
El Fuertecito;San Justo;Cordoba;310;Conectado
El Galpon;Metán;Salta;5771;Conectado
El Hoyo;Cushamen;Chubut;1640;Conectado
El Juncal;Adolfo Alsina;Rio Negro;89;Conectado
El Medano;Jáchal;San Juan;98;Conectado
El Mollar cambia por San Antonio;Tafí del Valle;Tucuman;1978;Conectado
El Nihuil;San Rafael;Mendoza;1073;Conectado
El Palenque;Paraná;Entre Rios;160;Conectado
El Paraiso;Ramallo;Buenos Aires;451;Conectado
El Pingo;Paraná;Entre Rios;791;Conectado
El Portezuelo;Valle Viejo;Catamarca;441;Conectado
El Pueblito;Tinogasta;Catamarca;58;Conectado
El Puesto;San Pedro;Jujuy;202;Conectado
El Quebrachal;Anta;Salta;7033;Conectado
El Rincon;Caucete;San Juan;137;Conectado
El Salado;Tinogasta;Catamarca;571;Conectado
El Sauzal cambia por Iltico;Río Hondo;Santiago del Estero;743;Conectado
El Socorro - Villa Angelica;Pergamino;Buenos Aires;1201;Conectado
El Solar;La Paz;Entre Rios;195;Conectado
El Sombrero;Empedrado;Corrientes;716;Conectado
El Sosneado;San Rafael;Mendoza;68;Conectado
El Talar;Santa Bárbara;Jujuy;2953;Conectado
El Tunal;Metán;Salta;;Conectado
El Vergel;Lavalle;Mendoza;388;Conectado
Embarcacion;Gral.J. de San Martín;Salta;22167;Conectado
Emilio Ayarza;Chivilcoy;Buenos Aires;89;Conectado
Emilio V. Bunge;General Villegas;Buenos Aires;2052;Conectado
Empalme Villa Constitucion;Constitución;Santa Fe;6388;Conectado
Empedrado;Empedrado;Corrientes;9378;Conectado
Enrique Carbo;Gualeguaychú;Entre Rios;780;Conectado
Epuyen;Cushamen;Chubut;1153;Conectado
Esperanza;Güer Aike;Santa Cruz;42192;Conectado
Esperanza.;Las Colonias;Santa Fe;142;Conectado
Esquel;Futaleufú;Chubut;34720;Conectado
Esquina;Esquina;Corrientes;193;Conectado
Estacion Araoz;Leales;Tucuman;1365;Conectado
Estacion Arroyo Cle;Tala;Entre Rios;118;Conectado
Estacion Atamisqui;Atamisqui;Santiago del Estero;442;Conectado
Estacion Camps;Diamante;Entre Rios;175;Conectado
Estacion Lazo;Gualeguay;Entre Rios;182;Conectado
Estacion Raices;Villaguay;Entre Rios;139;Conectado
Estacion Saguier;Castellanos;Santa Fe;110;Conectado
Estacion Sosa;Paraná;Entre Rios;511;Conectado
Estacion Taboada;San Martin;Santiago del Estero;1569;Conectado
Estacion Tacañitas;General Taboada;Santiago del Estero;1081;Conectado
Estancia San Pedro;Uruguay;Entre Rios;67;Conectado
Eugenio Bustos;San Carlos;Mendoza;6013;Conectado
Famailla;Famaillá;Tucuman;24254;Conectado
Famatanca;Santa María;Catamarca;595;Conectado
Faustino M. Parera;Gualeguaychú;Entre Rios;164;Conectado
Federal;Federal;Entre Rios;16332;Conectado
Fernandez;Robles;Santiago del Estero;13588;Conectado
Fighiera;Rosario;Santa Fe;4163;Conectado
Fontana;San Fernando;Chaco;33132;Conectado
Fontezuela;Pergamino;Buenos Aires;375;Conectado
Formosa;Formosa;Formosa;235115;Conectado
Fortin Inca;Belgrano;Santiago del Estero;527;Conectado
Fortin Tiburcio;Junin;Buenos Aires;259;Conectado
Fraile Pintado;Ledesma;Jujuy;13832;Conectado
Francisco Madero;Pehuajo;Buenos Aires;1414;Conectado
Franck;Las Colonias;Santa Fe;5370;Conectado
Franklin;San Andrés de Giles;Buenos Aires;92;Conectado
